StudentID,FirstName,LastName,BirthDate,Telephone,Street,PostalCode,City,DNI,Gender
46,Stevana,Moutray Read,1995-03-23,1552356870,24 Buell Point,,El Corozo,128448597,Female
47,Riley,Longstaff,1973-06-06,5457545746,0 Norway Maple Avenue,,Bayan Hot,651100138,Male
48,Gabbie,Danovich,2009-07-08,8108673437,10 Quincy Road,,Yosowilangun,975921181,Male
49,Shermy,Snarr,1980-07-27,4174788972,80 Messerschmidt Alley,,Karara,286295034,Male
50,Danit,Smitheman,1965-01-31,8747410833,2933 Morrow Way,5100-005,Lamego,644122991,Polygender
51,Aurel,Trotter,2001-06-22,7399874802,6689 Tony Park,423 43,Torslanda,358582604,Female
52,Alfonse,Dmitrovic,1969-01-06,4029237635,42980 7th Center,2500,Cañada de Gómez,963440481,Male
53,Margarete,Laytham,1962-06-06,1889462341,61265 Amoth Center,,Jinquan,310272083,Non-binary
54,Sydel,Joslow,1968-10-07,2149835347,03557 Packers Terrace,,Fumin,879516584,Female
55,Cynde,Arran,1989-06-28,8831187818,338 Oriole Center,,Boulemane,963565680,Female
56,Carolyne,Jackett,2000-10-14,6154122071,1 Dunning Way,186445,Novorozhdestvenskaya,898762031,Female
57,Chadd,Bladon,2005-11-04,8714431311,40029 Surrey Center,601340,Novki,225288039,Male
58,Parry,Rewcassell,1988-04-22,8527977218,049 Kenwood Circle,,Sambong,931442595,Male
59,Bartholomeo,Quarlis,2009-05-29,8298929758,02694 Westridge Road,,Chervonoarmiys’k,303388769,Male
60,Gayla,Antoszczyk,1997-11-18,9544334632,29067 Fairview Point,95150-000,Nova Petrópolis,827839819,Female
61,Loy,Kibard,1972-12-03,4686976751,81045 Oxford Drive,,Jiangnan,631533771,Male
62,Hayes,Piesing,1998-08-12,8513951387,31139 Swallow Center,,Thomazeau,485934638,Male
63,Koressa,Creavin,1985-08-11,3181681969,25 Reindahl Street,,Basoko,649154050,Female
64,Aubert,Clacson,1961-04-06,9745871646,771 Pennsylvania Alley,696 61,Vnorovy,736396952,Bigender
65,Tyrone,Lukesch,2003-01-23,4327735817,46922 Cordelia Trail,,Lundo,670383749,Male
66,Angelica,Seear,2006-04-18,1411051910,6818 Blaine Terrace,,Lebao,897790747,Female
67,Feodora,Edmundson,1979-02-05,4457373184,4 Vernon Plaza,,Oehala,627924250,Female
68,Harcourt,Tate,2006-06-23,2998772068,52593 Merrick Center,692658,Lyalichi,880498188,Male
69,Munmro,Janway,1988-07-12,2821060571,864 Moulton Plaza,,Shiqiao,968459317,Male
70,Vinita,Kenward,1966-05-05,1753782728,6 Cherokee Terrace,8019,Zwolle,894967670,Female
71,Bartlet,Hatwells,1961-03-06,4097539661,8 Acker Circle,,Nanshui,436262973,Male
72,Gerri,Whenman,1961-08-10,5732426229,053 Gerald Park,65211,Columbia,231324262,Female
73,Tate,Engall,1983-02-24,5324456751,554 Transport Park,,Takāb,779850813,Male
74,Orlan,Spinello,1993-10-15,7975755884,09 Onsgard Court,,Yagoua,722350851,Male
75,Skipp,Torrent,2006-12-28,8423146099,644 Johnson Center,93209 CEDEX,Saint-Denis,920324673,Male
76,Marilin,Petticrew,1990-09-20,2356602048,4708 Helena Circle,22005,Huesca,950781136,Female
77,Athena,Canelas,1961-04-18,2184128277,479 Swallow Alley,4940-025,Gandra,832727212,Female
78,Siward,Galpen,1960-01-27,4668031731,6061 Summit Street,5730,Fort Beaufort,757857730,Male
79,Ludvig,Sime,1967-12-14,9109978631,60 Grover Pass,,Amgalang,602484990,Male
80,Crysta,Sedgefield,1964-12-14,8037231572,01276 Oakridge Place,8422,Silae,715263589,Female
81,Mallory,Roj,2007-09-11,9506978439,81 Shelley Court,,Khorramābād,919764070,Male
82,Bonny,Sirkett,1988-04-05,2306501171,73501 Fieldstone Park,18130,Ban Mo,546551856,Female
83,Zena,Formigli,2003-12-04,4066670331,68 Eastwood Alley,76200-000,Iporá,521149832,Female
84,Teddy,Tite,1967-05-05,4447301061,637 Holy Cross Center,10801,Jarabacoa,765543761,Female
85,Earlie,Yakovl,2000-04-25,9435782888,2732 Arizona Parkway,,Chichigalpa,226055644,Male
86,Alisa,Challens,2003-04-08,6382147745,4289 Namekagon Place,,Shahe,949062739,Female
87,Shana,Climer,1997-05-08,4985700489,77 Eggendart Street,,Jixing,268993061,Genderqueer
88,Fairfax,Stanners,1971-01-01,7625440020,3 Swallow Park,04501,Suodenniemi,580628717,Male
89,Ephraim,Minchella,1996-04-19,5288774926,5 Coolidge Avenue,,Danzi,666938797,Male
90,Tedie,McCulley,1975-03-30,1802130252,945 Golf View Trail,,Shijia,869436066,Male
91,Eden,Shrieves,1980-05-08,1191836167,4597 American Ash Drive,646160,Lyubinskiy,806058558,Female
92,Fabien,Atty,1997-05-18,4426905750,8402 Fairfield Park,7803,Hobart,164948133,Male
93,Abbie,Jakoviljevic,1996-10-19,4323967652,0325 Transport Plaza,,Pas Pul,259089030,Female
94,Jayne,Wildman,1966-11-28,5995356498,13514 Columbus Alley,3320,Kaligutan,317883268,Female
95,Andrey,Doreward,1994-12-09,1107899286,658 Warbler Crossing,,Taokeng,914971029,Male
96,Giacinta,Goodread,2001-03-06,9557481987,42 Packers Park,,Gitega,196176355,Female
97,Yankee,Creed,1990-08-16,1552728704,6526 Riverside Plaza,,Taocun,638564446,Male
98,Marthena,Thurber,1967-12-26,1332170408,12 Jana Way,30935 CEDEX 9,Nîmes,975503328,Polygender
99,Luelle,Tohill,1978-09-19,9075631662,98405 Pond Circle,4620-280,Longra,224828271,Female
100,Thomasin,Siehard,1981-02-05,3912207630,27574 Steensland Junction,75280 CEDEX 06,Paris 06,285737066,Female
